feature,gain,split
INS_36M_PAYMENT_RATIO_MEAN,4564.949857854843,168.7
LAST_LOAN_DPD_max,4561.8231342792515,114.8
INS_AMT_PAYMENT_MEAN,4545.014608716965,218.6
INS_AMT_INSTALMENT_MEAN,4535.851501369476,225.4
PREV_NAME_YIELD_GROUP_low_action_MEAN,4510.89115524292,203.8
APPROVED_DAYS_LAST_DUE_MEAN,4434.7721298217775,207.9
PREV_ACTIVE_AMT_APPLICATION_MAX,4413.28762114048,223.8
PREV_HOUR_APPR_PROCESS_START_MAX,4410.644629859924,216.2
APPROVED_DAYS_FIRST_DUE_MIN,4409.72450299263,206.3
APPROVED_APPLICATION_CREDIT_RATIO_MIN,4404.782501173019,218.2
PREV_LAST12M_APPLICATION_CREDIT_RATIO_MEAN,4401.321927452087,212.4
PREV_PRODUCT_COMBINATION_POS household with interest_MEAN,4378.6486116886135,228.7
BUREAU_MONTHS_BALANCE_MEAN_VAR,4377.226880502701,234.9
BUREAU_LAST12M_AMT_CREDIT_MAX_OVERDUE_MEAN,4377.140299797058,168.5
INS_60M_LATE_PAYMENT_MEAN,4346.045512866974,184.6
BUREAU_LL_AMT_CREDIT_SUM_OVERDUE_MEAN,4326.131926250458,234.2
REFUSED_AMT_APPLICATION_MAX,4291.848929405212,196.1
BUREAU_STATUS_X_MEAN,4275.763261628151,234.9
INS_DPD_MEAN,4266.022977638245,201.1
BUREAU_CREDIT_TYPE_Credit card_MEAN,4239.011682367325,220.3
BUREAU_MONTHS_BALANCE_MEAN_MEAN,4227.608668136597,212.4
REFUSED_APPLICATION_CREDIT_DIFF_MEAN,4226.170088577271,184.7
INS_AMT_PAYMENT_MAX,4179.652510166168,191.9
PREV_LAST12M_AMT_ANNUITY_MAX,4172.831851577759,215.4
REFUSED_APPLICATION_CREDIT_DIFF_MIN,4137.15022649765,185.7
BUREAU_LAST6M_AMT_CREDIT_SUM_DEBT_SUM,4119.119325780868,209.1
BUREAU_AMT_ANNUITY_MEAN,4113.393829393387,223.6
FLOORSMAX_AVG,4104.573025035858,180.5
BUREAU_ACTIVE_CREDIT_TO_ANNUITY_RATIO_MEAN,4084.351554775238,222.9
PREV_Cash_APPLICATION_CREDIT_RATIO_MAX,4043.2037907123567,204.1
BUREAU_CREDIT_TYPE_Consumer credit_MEAN,4031.1930437088013,207.3
BUREAU_CLOSED_STATUS_12345_MEAN,4010.5514575004577,196.5
INS_12M_LIMIT_USE_MEAN,4010.2687079429625,119.7
CC_AMT_PAYMENT_TOTAL_CURRENT_VAR,3989.890302610397,204.3
REFUSED_CNT_PAYMENT_MEAN,3982.3679218292236,171.5
WEEKDAY_APPR_PROCESS_START,3982.257785272598,249.9
APPROVED_DAYS_DECISION_MIN,3961.570845603943,184.6
PREV_LAST12M_APPLICATION_CREDIT_DIFF_MIN,3958.916540622711,196.6
BUREAU_MONTHS_BALANCE_SIZE_SUM,3952.7993577957154,211.5
REFUSED_CNT_PAYMENT_MAX,3934.98694190979,127.8
BUREAU_MICROLOAN_DAYS_CREDIT_MAX,3933.875310945511,115.1
PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,3929.639160633087,146.4
PREV_CHANNEL_TYPE_Country-wide_MEAN,3914.5844111442566,197.1
INS_SIGNIFICANT_LATE_PAYMENT_MEAN,3897.2720708847046,187.0
BUREAU_ACTIVE_MONTHS_BALANCE_MEAN_MEAN,3871.9800517082213,206.2
POS_SK_DPD_DEF_MAX,3862.77819108963,157.8
LAST_LOAN_PAID_OVER_AMOUNT_std,3814.7293451309206,196.4
PREV_ACTIVE_AMT_PAYMENT_SUM,3760.920751810074,193.5
PREV_ACTIVE_CNT_PAYMENT_SUM,3754.976829242706,159.5
APPROVED_DAYS_LAST_DUE_1ST_VERSION_MAX,3753.4203743457792,167.4
PREV_LAST12M_SIMPLE_INTERESTS_MEAN,3738.9372901916504,187.1
PREV_NAME_YIELD_GROUP_low_normal_MEAN,3734.821384906769,194.8
INS_60M_AMT_PAYMENT_MAX,3711.4517380714415,174.7
APPROVED_HOUR_APPR_PROCESS_START_MIN,3687.5200684547426,185.6
PREV_LAST12M_APPLICATION_CREDIT_RATIO_MAX,3678.231094264984,199.6
BUREAU_ACTIVE_MONTHS_BALANCE_MEAN_VAR,3666.44346036911,205.5
PREV_ACTIVE_INSTALMENT_PAYMENT_DIFF_MEAN,3666.2119525909425,169.5
INS_DPD_VAR,3647.6835587501528,173.1
PREV_NAME_CLIENT_TYPE_New_MEAN,3646.3983001708984,167.6
PREV_NAME_TYPE_SUITE_Family_MEAN,3643.707815551758,188.4
INS_PAYMENT_RATIO_MEAN,3612.132109594345,156.0
PREV_CHANNEL_TYPE_AP+ (Cash loan)_MEAN,3602.3169515609743,171.5
PREV_NAME_YIELD_GROUP_XNA_MEAN,3589.1539786815642,178.4
REFUSED_AMT_APPLICATION_MEAN,3565.2709309101106,178.2
CC_PAYMENT_DIV_MIN_MIN,3554.9024797439574,210.4
PREV_ACTIVE_SIMPLE_INTERESTS_MEAN,3539.4831035614015,173.4
LAST_LOAN_DPD_sum,3493.732374954224,123.5
PREV_NAME_YIELD_GROUP_high_MEAN,3484.9095727443696,172.0
PREV_ACTIVE_INSTALMENT_PAYMENT_DIFF_MAX,3477.812991952896,156.5
DOCUMENT_COUNT,3458.014900970459,149.1
PREV_CNT_PAYMENT_MAX,3437.8328585624695,105.3
CC_CNT_DRAWINGS_POS_CURRENT_MEAN,3395.6804443359374,171.2
BUREAU_MICROLOAN_AMT_CREDIT_SUM_MEAN,3382.4401893615723,93.2
POS_NAME_CONTRACT_STATUS_Signed_MEAN,3359.752730178833,176.5
REG_CITY_NOT_LIVE_CITY,3345.2420038223268,138.9
BUREAU_LAST6M_AMT_CREDIT_SUM_DEBT_MEAN,3339.797225189209,180.4
LAST_LOAN_PAID_OVER_AMOUNT_min,3241.566955089569,158.6
PREV_CHANNEL_TYPE_Credit and cash offices_MEAN,3239.3153096199035,176.7
POS_SK_ID_PREV_NUNIQUE,3236.6375472068785,97.0
INS_60M_PAYMENT_RATIO_MEAN,3169.172134923935,130.1
PREV_HOUR_APPR_PROCESS_START_MIN,3160.7443528652193,161.4
PREV_PRODUCT_COMBINATION_POS industry with interest_MEAN,3122.3348435401917,178.3
BUREAU_ACTIVE_MONTHS_BALANCE_SIZE_SUM,3062.3052175045013,159.8
INS_36M_DPD_MAX,3056.520251750946,134.0
PREV_CHANNEL_TYPE_Stone_MEAN,3035.2141695022583,159.8
PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,3008.7568691253664,129.3
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,3001.100914096832,153.3
BUREAU_MORTGAGE_AMT_CREDIT_SUM_MAX,2999.56130566597,129.0
PREV_PRODUCT_COMBINATION_Cash X-Sell: middle_MEAN,2987.094536304474,159.1
AMT_REQ_CREDIT_BUREAU_QRT,2930.3244156360624,154.7
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,2909.057392501831,148.2
BUREAU_MICROLOAN_AMT_CREDIT_SUM_MAX,2907.615762901306,70.4
LAST_LOAN_PAID_OVER_count,2878.341286754608,144.2
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,2853.9054762363435,171.7
BUREAU_LAST12M_AMT_CREDIT_SUM_OVERDUE_MEAN,2846.1565869808196,116.1
REGION_RATING_CLIENT,2830.8210603713987,100.8
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,2802.395718193054,142.3
BUREAU_STATUS_1_MEAN,2796.545669078827,134.9
LAST_LOAN_PAID_OVER_AMOUNT_sum,2795.5803558826447,148.7
ENTRANCES_MEDI,2788.5508317947388,145.6
BUREAU_CREDIT_AMT_CREDIT_MAX_OVERDUE_MEAN,2783.8713598251343,151.3
CC_PAYMENT_DIV_MIN_MEAN,2782.9997079372406,125.5
BUREAU_LAST12M_STATUS_0_MEAN,2768.39745016098,155.8
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,2747.064112186432,133.7
APPROVED_DAYS_LAST_DUE_MAX,2742.924049949646,133.1
CC_MONTHS_BALANCE_MIN,2722.5120743751527,135.1
WALLSMATERIAL_MODE,2710.1276507854463,133.3
BUREAU_CREDIT_AMT_CREDIT_MAX_OVERDUE_MAX,2704.626123857498,143.2
PREV_PRODUCT_COMBINATION_POS mobile with interest_MEAN,2695.629761695862,138.2
PREV_ACTIVE_CNT_PAYMENT_MEAN,2661.673881626129,119.1
PREV_LAST24M_NAME_CONTRACT_TYPE_Revolving loans_MEAN,2644.346387386322,123.3
BUREAU_STATUS_12345_MEAN,2639.58163022995,124.6
BUREAU_MICROLOAN_AMT_CREDIT_SUM_DEBT_MEAN,2627.8736439704894,81.0
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,2616.574673652649,137.1
BUREAU_MORTGAGE_AMT_CREDIT_SUM_MEAN,2588.5886048316956,111.8
INS_24M_LIMIT_USE_MAX,2567.8058641433718,88.0
POS_SK_DPD_DEF_SUM,2539.484031677246,110.3
FLOORSMAX_MEDI,2533.3455642700196,109.1
PREV_NAME_PRODUCT_TYPE_x-sell_MEAN,2497.9696350574495,128.1
INS_DPD_MAX,2483.796491241455,127.2
LATE_PAYMENT_SUM,2477.137779712677,127.4
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,2441.4155054569246,143.4
PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,2437.058072948456,125.4
POS_LATE_PAYMENT_MEAN,2285.852681827545,114.5
PREV_PRODUCT_COMBINATION_Cash_MEAN,2285.746386861801,123.1
APPROVED_CNT_PAYMENT_MAX,2218.1339789390563,85.1
INS_48M_CNT_DRAWINGS_ATM_CURRENT_MEAN,2203.978469467163,51.6
PREV_LAST24M_NAME_CONTRACT_TYPE_Cash loans_MEAN,2181.4450015068055,108.5
BUREAU_MICROLOAN_DAYS_CREDIT_ENDDATE_MAX,2162.103934431076,76.5
REFUSED_NAME_CONTRACT_TYPE_Cash loans_MEAN,2131.133675098419,87.9
"PREV_NAME_TYPE_SUITE_Spouse, partner_MEAN",2110.2741931915284,114.9
PREV_CHANNEL_TYPE_Regional / Local_MEAN,2105.8223465919496,113.2
CC_CNT_DRAWINGS_CURRENT_SUM,2083.337005329132,104.7
PREV_LAST24M_NAME_CONTRACT_TYPE_Consumer loans_MEAN,2078.4605309963226,96.4
INS_60M_DPD_MAX,2074.7620346546173,100.3
REFUSED_NAME_CONTRACT_TYPE_Consumer loans_MEAN,2071.9795557022094,75.4
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,2066.552219390869,63.3
BUREAU_CREDIT_TYPE_Microloan_MEAN,2060.6585923671723,64.0
PREV_SK_ID_PREV_NUNIQUE,2005.458550453186,104.2
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,1943.7260823249817,99.8
CC_AMT_DRAWINGS_ATM_CURRENT_SUM,1932.6111463546754,96.6
CC_AMT_DRAWINGS_POS_CURRENT_SUM,1924.0634316921235,110.9
POS_NAME_CONTRACT_STATUS_Returned to the store_MEAN,1897.3786648750306,101.2
CC_AMT_BALANCE_MAX,1879.3970122337341,86.0
POS_COMPLETED_BEFORE_MEAN,1871.4440709114074,101.5
PREV_CHANNEL_TYPE_Contact center_MEAN,1854.6640667915344,105.2
POS_SK_DPD_VAR,1842.3759437561034,97.8
PREV_PRODUCT_COMBINATION_Cash X-Sell: low_MEAN,1842.2917081832886,97.6
INS_60M_DPD_15_MEAN,1823.3330283164978,82.9
INS_DPD_15_MEAN,1817.6556904792785,89.2
POS_SK_DPD_MEAN,1794.9430416584014,88.9
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,1774.5153903961182,58.4
BUREAU_CAR_AMT_CREDIT_SUM_MAX,1754.57073264122,103.7
BUREAU_MICROLOAN_AMT_CREDIT_SUM_DEBT_MAX,1745.499600315094,51.8
BUREAU_CLOSED_AMT_CREDIT_SUM_DEBT_SUM,1735.759173965454,88.7
CC_AMT_TOTAL_RECEIVABLE_MEAN,1713.969223880768,75.4
INS_12M_AMT_BALANCE_MEAN,1703.3852920532227,70.0
BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_MAX,1702.3509488105774,50.0
CC_AMT_DRAWINGS_POS_CURRENT_MAX,1695.9437491893768,92.8
INS_24M_LIMIT_USE_MEAN,1687.6867036819458,51.9
PREV_PRODUCT_COMBINATION_Cash X-Sell: high_MEAN,1685.469771051407,87.4
FLOORSMAX_MODE,1675.5037004947662,78.4
PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,1667.7370881080628,86.1
BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,1647.3435094356537,66.4
POS_SK_DPD_MAX,1633.7916136741637,88.7
BUREAU_CAR_DEBT_CREDIT_DIFF_MEAN,1628.3729578971863,92.4
PREV_PRODUCT_COMBINATION_POS household without interest_MEAN,1622.8243614673615,83.7
POS_SK_DPD_SUM,1615.1608221054078,87.8
CC_AMT_DRAWINGS_CURRENT_MAX,1605.7813088417054,80.4
BUREAU_CLOSED_AMT_CREDIT_SUM_DEBT_MAX,1601.0674604415894,80.8
PREV_PRODUCT_COMBINATION_POS other with interest_MEAN,1593.5926306724548,87.6
CC_AMT_INST_MIN_REGULARITY_MEAN,1582.7874003410338,80.6
CC_CNT_DRAWINGS_ATM_CURRENT_SUM,1569.8946128368377,78.0
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,1540.5641867637635,84.3
CC_AMT_INST_MIN_REGULARITY_MAX,1533.7461618423463,71.7
BUREAU_CAR_AMT_CREDIT_SUM_MEAN,1522.0999410629272,90.3
BUREAU_CREDIT_ACTIVE_Sold_MEAN,1478.78399477005,78.8
REFUSED_NAME_CONTRACT_TYPE_Revolving loans_MEAN,1453.7151084899901,69.2
BUREAU_MORTGAGE_DAYS_CREDIT_MEAN,1437.5418970108033,74.4
PREV_PRODUCT_COMBINATION_POS mobile without interest_MEAN,1430.3478267669677,80.6
PREV_PRODUCT_COMBINATION_Card Street_MEAN,1419.9283654689789,72.5
BUREAU_MICROLOAN_DEBT_CREDIT_DIFF_MEAN,1418.2274480819701,45.8
CC_CNT_DRAWINGS_ATM_CURRENT_MAX,1417.242949295044,61.5
CC_AMT_DRAWINGS_CURRENT_SUM,1413.3676297187806,71.7
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,1399.2036544799805,40.5
CC_LATE_PAYMENT_SUM,1377.4870147228241,84.9
PREV_PRODUCT_COMBINATION_Card X-Sell_MEAN,1372.750808620453,72.8
PREV_LAST12M_NAME_CONTRACT_TYPE_Cash loans_MEAN,1366.5521483421326,70.6
INS_36M_DPD_15_MEAN,1356.8981623649597,63.2
APPROVED_SK_ID_PREV_NUNIQUE,1340.787805366516,64.5
APPROVED_DAYS_FIRST_DRAWING_MEAN,1338.6756816864013,68.8
BUREAU_CREDIT_TYPE_Mortgage_MEAN,1330.1506972312927,58.6
PREV_PRODUCT_COMBINATION_Cash Street: middle_MEAN,1327.9586426734925,70.4
PREV_NAME_CONTRACT_STATUS_Unused offer_MEAN,1322.7811428070067,75.4
PREV_LAST12M_NAME_CONTRACT_TYPE_Revolving loans_MEAN,1322.5902553558349,69.7
BUREAU_MORTGAGE_DAYS_CREDIT_MAX,1321.3282466888427,69.2
CC_AMT_TOTAL_RECEIVABLE_MAX,1266.3977268218994,58.2
BUREAU_CONSUMER_DEBT_PERCENTAGE_MEAN,1265.4857342720031,66.7
PREV_CHANNEL_TYPE_Channel of corporate sales_MEAN,1262.6197757720947,81.6
PREV_LAST12M_NAME_CONTRACT_TYPE_Consumer loans_MEAN,1249.9662899971008,63.3
INS_48M_LIMIT_USE_MAX,1207.5700155258178,42.3
PREV_NAME_TYPE_SUITE_Other_B_MEAN,1187.8566638946534,64.9
NAME_HOUSING_TYPE,1156.075895214081,74.5
BUREAU_CAR_DAYS_CREDIT_ENDDATE_MAX,1144.630678844452,65.0
INS_SK_ID_PREV_NUNIQUE,1129.4539046287537,51.2
BUREAU_MORTGAGE_DAYS_CREDIT_ENDDATE_MAX,1122.885033082962,62.6
PREV_PRODUCT_COMBINATION_Cash Street: high_MEAN,1093.0888617515564,53.9
BUREAU_LAST6M_AMT_CREDIT_MAX_OVERDUE_MAX,1052.8665256500244,47.1
FLAG_OWN_CAR,1044.41768283844,27.3
INS_PAID_OVER_MEAN,1043.7495469093324,55.1
PREV_ACTIVE_AMT_DOWN_PAYMENT_MAX,1035.7781345367432,57.5
CC_SK_DPD_SUM,1014.094117641449,64.5
BUREAU_MICROLOAN_DEBT_PERCENTAGE_MEAN,940.2108149528503,37.6
BUREAU_CAR_DAYS_CREDIT_MEAN,936.2866634368896,55.9
PREV_NAME_TYPE_SUITE_Children_MEAN,918.2912621498108,53.1
LAST_LOAN_PAID_OVER_mean,915.1871590614319,50.9
BUREAU_MORTGAGE_DEBT_CREDIT_DIFF_MEAN,914.4467160701752,52.5
PREV_NAME_TYPE_SUITE_Other_A_MEAN,896.7691407203674,48.4
BUREAU_LAST6M_AMT_CREDIT_MAX_OVERDUE_MEAN,886.4278425216675,39.4
INS_48M_LIMIT_USE_MEAN,885.1053303718567,26.1
BUREAU_LAST6M_STATUS_0_MEAN,880.3014857292176,50.8
BUREAU_CAR_DAYS_CREDIT_MAX,849.2680606842041,48.4
PREV_ACTIVE_AMT_DOWN_PAYMENT_MEAN,818.6313875198364,46.4
PREV_PRODUCT_COMBINATION_POS industry without interest_MEAN,800.9096671104431,54.0
NAME_CONTRACT_TYPE,786.7341708183288,28.0
BUREAU_CAR_AMT_CREDIT_SUM_DEBT_MEAN,783.0554030418396,43.9
PREV_PRODUCT_COMBINATION_Cash Street: low_MEAN,769.4061575889588,44.6
LAST_LOAN_PAID_OVER_AMOUNT_max,751.9262924194336,42.3
BUREAU_CAR_DEBT_PERCENTAGE_MEAN,750.304221534729,41.3
CC_SK_DPD_MEAN,746.1898380279541,44.1
INS_12M_AMT_BALANCE_MAX,719.2097508430481,31.9
BUREAU_CREDIT_TYPE_Car loan_MEAN,702.8744222640992,44.3
BUREAU_CAR_AMT_CREDIT_SUM_DEBT_MAX,679.7612319946289,38.4
INS_24M_AMT_BALANCE_MEAN,674.9592613220215,29.4
BUREAU_MORTGAGE_AMT_CREDIT_SUM_DEBT_MAX,586.7247964859009,30.6
FLAG_DOCUMENT_8,576.8490962505341,36.4
NAME_TYPE_SUITE,573.3191518783569,37.9
BUREAU_MORTGAGE_AMT_CREDIT_SUM_DEBT_MEAN,532.4129685878754,29.3
INS_12M_SK_DPD_SUM,500.96829586029054,32.4
BUREAU_LAST12M_STATUS_12345_MEAN,499.67021188735964,29.1
PREV_ACTIVE_SK_ID_PREV_NUNIQUE,494.36593475341795,26.0
POS_NAME_CONTRACT_STATUS_Approved_MEAN,485.8466757774353,28.2
BUREAU_MORTGAGE_DEBT_PERCENTAGE_MEAN,417.3320178031921,25.0
CC_SK_DPD_MAX,382.6328814506531,22.8
INS_48M_AMT_BALANCE_MEAN,372.2105421066284,15.7
INS_24M_AMT_BALANCE_MAX,355.348850440979,16.3
BUREAU_CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN,354.71521654129026,24.2
CC_SK_DPD_DEF_SUM,341.8163366317749,19.5
INS_24M_SK_DPD_SUM,319.119265127182,20.0
FLAG_DOCUMENT_18,301.7809147834778,18.4
LIVE_CITY_NOT_WORK_CITY,282.0510530471802,16.0
BUREAU_CAR_AMT_CREDIT_MAX_OVERDUE_MEAN,245.14113149642944,15.2
AMT_REQ_CREDIT_BUREAU_WEEK,168.94128046035766,10.7
INS_48M_AMT_BALANCE_MAX,158.10213174819947,7.5
INS_12M_SK_DPD_MAX,151.19095764160156,8.6
CC_SK_DPD_DEF_MAX,140.75028982162476,7.7
BUREAU_CAR_AMT_CREDIT_MAX_OVERDUE_MAX,133.14579191207886,8.5
INS_48M_SK_DPD_SUM,120.9439206123352,7.5
BUREAU_LAST6M_STATUS_12345_MEAN,120.39043164253235,8.4
BUREAU_MORTGAGE_AMT_CREDIT_MAX_OVERDUE_MEAN,108.9502320766449,7.4
PREV_NAME_TYPE_SUITE_Group of people_MEAN,80.54610996246338,4.5
LIVE_REGION_NOT_WORK_REGION,80.0558373451233,4.8
PREV_NAME_CLIENT_TYPE_XNA_MEAN,74.14693231582642,4.4
PREV_PRODUCT_COMBINATION_POS others without interest_MEAN,66.70219001770019,4.1
INS_24M_SK_DPD_MAX,64.43925971984864,3.6
AMT_REQ_CREDIT_BUREAU_HOUR,62.53493986129761,3.2
BUREAU_LAST6M_AMT_CREDIT_SUM_OVERDUE_MEAN,58.455329704284665,3.0
BUREAU_MORTGAGE_AMT_CREDIT_MAX_OVERDUE_MAX,45.418417263031,3.1
INS_48M_SK_DPD_MAX,39.51259021759033,2.1
PREV_NAME_CONTRACT_TYPE_XNA_MEAN,25.258950233459473,1.5
POS_NAME_CONTRACT_STATUS_Demand_MEAN,19.4583797454834,1.4
BUREAU_MICROLOAN_AMT_CREDIT_MAX_OVERDUE_MAX,8.276940059661865,0.5
PREV_CHANNEL_TYPE_Car dealer_MEAN,6.629390144348145,0.3
APPROVED_DAYS_FIRST_DRAWING_MAX,5.842440032958985,0.4
BUREAU_MICROLOAN_AMT_CREDIT_MAX_OVERDUE_MEAN,4.963709926605224,0.3
CC_LATE_PAYMENT_MAX,0.0,0.0
